Price,Adj Close,Close,High,Low,Open,Volume
2020-01-02,5.971408843994141,5.99774980545044,5.99774980545044,5.918000221252441,5.96875,237536000
2020-01-03,5.875833034515381,5.901750087738037,5.945750236511231,5.852499961853027,5.877500057220459,205384000
2020-01-06,5.900472640991211,5.926499843597412,5.9317498207092285,5.781750202178955,5.808000087738037,262636000
2020-01-07,5.9719085693359375,5.9982500076293945,6.044250011444092,5.909749984741211,5.954999923706055,314856000
2020-01-08,5.983108997344971,6.009500026702881,6.051000118255615,5.953750133514404,5.99399995803833,277108000
2020-01-09,6.048819065093994,6.075500011444092,6.148250102996826,6.021500110626221,6.096250057220459,255112000
2020-01-10,6.081176280975342,6.107999801635742,6.213749885559082,6.09375,6.183249950408936,316296000
2020-01-13,6.271834850311279,6.299499988555908,6.324749946594238,6.168749809265137,6.191500186920166,319840000
2020-01-14,6.154850482940674,6.182000160217285,6.2820000648498535,6.168749809265137,6.256499767303467,359088000
2020-01-15,6.1122894287109375,6.139249801635742,6.217249870300293,6.113249778747559,6.19474983215332,263104000
2020-01-16,6.195919990539551,6.223249912261963,6.229249954223633,6.16949987411499,6.192999839782715,284192000
2020-01-17,6.204631328582764,6.23199987411499,6.25,6.184249877929688,6.242499828338623,253792000
2020-01-21,6.17127799987793,6.198500156402588,6.232250213623047,6.164249897003174,6.195250034332275,217916000
2020-01-22,6.22528886795044,6.252749919891357,6.339749813079834,6.224999904632568,6.24399995803833,239240000
2020-01-23,6.293737888336182,6.321499824523926,6.329999923706055,6.203750133514404,6.293000221252441,244516000
2020-01-24,6.234499454498291,6.26200008392334,6.487500190734863,6.207499980926514,6.4375,373512000
2020-01-27,5.978628158569336,6.005000114440918,6.056250095367432,5.805749893188477,5.955999851226807,470536000
2020-01-28,6.172025203704834,6.199250221252441,6.231750011444092,6.017749786376953,6.071249961853027,310976000
2020-01-29,6.111542224884033,6.138500213623047,6.2210001945495605,6.098499774932861,6.184750080108643,258848000
2020-01-30,6.1182637214660645,6.145249843597412,6.158750057220459,5.985000133514404,6.040249824523926,290504000
2020-01-31,5.884791851043701,5.910749912261963,6.111249923706055,5.868750095367432,6.099249839782715,370420000
2020-02-03,5.981863498687744,6.008250236511231,6.027750015258789,5.886250019073486,5.892499923706055,255564000
2020-02-04,6.15111780166626,6.178249835968018,6.197500228881836,6.100500106811523,6.150750160217285,271544000
2020-02-05,6.241469860076904,6.269000053405762,6.309999942779541,6.18524980545044,6.299749851226807,208220000
2020-02-06,6.328335285186768,6.356249809265137,6.356249809265137,6.2220001220703125,6.303500175476074,218284000
2020-02-07,6.26212739944458,6.289750099182129,6.338250160217285,6.264249801635742,6.315999984741211,189752000
2020-02-10,6.5453782081604,6.574250221252441,6.574999809265137,6.307499885559082,6.3125,529608000
2020-02-11,6.667837619781494,6.697249889373779,6.8125,6.620749950408936,6.683000087738037,638556000
2020-02-12,6.7835774421691895,6.813499927520752,6.820000171661377,6.711249828338623,6.750249862670898,374644000
2020-02-13,6.739770889282227,6.769499778747559,6.836999893188477,6.727749824523926,6.755249977111816,528016000
2020-02-14,7.21293306350708,7.244750022888184,7.374249935150146,7.150000095367432,7.18149995803833,1041924000
